product_id,product_name,category,subcategory,brand,unit_cost,unit_price,launch_date
1,Hamilton Beach Smart Blenders,Home Appliances,Blenders,Hamilton Beach,133.86,204.3,2019-02-20
2,Maytag Dishwashers Plus,Home Appliances,Dishwashers,Maytag,698.08,916.11,2022-10-22
3,Zara Slim Sneakers,Clothing,Sneakers,Zara,13.51,30.09,2022-06-26
4,L'Oreal Glow Foundations,Beauty,Foundations,L'Oreal,4.41,8.85,2022-10-04
5,Levi's Essential Dresses,Clothing,Dresses,Levi's,13.98,37.42,2021-05-11
6,West Elm Coffee Tables Set,Furniture,Coffee Tables,West Elm,1296.66,1737.2,2022-02-16
7,Tommy Hilfiger Slim Jackets,Clothing,Jackets,Tommy Hilfiger,91.45,163.88,2021-01-01
8,LG Smart TVs Max,Electronics,Smart TVs,LG,689.39,883.76,2019-08-12
9,Dell Cameras Lite,Electronics,Cameras,Dell,348.48,460.27,2023-02-19
10,KitchenAid Blenders 2000,Home Appliances,Blenders,KitchenAid,44.31,61.95,2020-03-10
11,Clinique Lipsticks,Beauty,Lipsticks,Clinique,55.42,170.25,2023-01-10
12,Lenovo Headphones Series X,Electronics,Headphones,Lenovo,1337.68,1820.64,2019-05-07
13,Cuisinart Smart Washing Machines,Home Appliances,Washing Machines,Cuisinart,293.72,384.17,2021-07-21
14,IKEA Heritage Office Chairs,Furniture,Office Chairs,IKEA,1052.07,1735.84,2020-07-25
15,Dyson Pro Refrigerators,Home Appliances,Refrigerators,Dyson,758.2,982.28,2024-02-24
16,LG Headphones Lite,Electronics,Headphones,LG,184.86,220.29,2019-04-17
17,Whirlpool Smart Dishwashers,Home Appliances,Dishwashers,Whirlpool,33.33,44.48,2021-09-06
18,Olay Pure Hair Dryers,Beauty,Hair Dryers,Olay,45.74,128.23,2023-04-09
19,Clinique Radiance Perfumes,Beauty,Perfumes,Clinique,35.97,94.47,2019-01-17
20,Dell Smartwatches Series X,Electronics,Smartwatches,Dell,1143.38,1510.77,2022-10-18
21,Trek Sport Treadmills,Sports,Treadmills,Trek,67.47,97.9,2020-10-12
22,Revlon Luxe Foundations,Beauty,Foundations,Revlon,8.2,15.97,2022-04-06
23,Calvin Klein Premium Activewear,Clothing,Activewear,Calvin Klein,104.55,191.75,2019-01-24
24,Sony Smartphones Pro,Electronics,Smartphones,Sony,1060.27,1250.87,2023-06-19
25,Dyson Refrigerators Elite,Home Appliances,Refrigerators,Dyson,30.44,43.26,2023-04-12
26,Bosch Dishwashers Plus,Home Appliances,Dishwashers,Bosch,328.56,535.28,2023-04-03
27,Neutrogena Luxe Hair Dryers,Beauty,Hair Dryers,Neutrogena,49.46,107.91,2024-02-05
28,Crate & Barrel Modern Coffee Tables,Furniture,Coffee Tables,Crate & Barrel,359.24,551.65,2019-02-17
29,Columbia Basketballs Trail,Sports,Basketballs,Columbia,538.01,991.89,2023-09-02
30,Calvin Klein Classic T-Shirts,Clothing,T-Shirts,Calvin Klein,11.29,19.15,2021-07-30
31,Bowflex Sport Camping Tents,Sports,Camping Tents,Bowflex,530.31,971.86,2024-05-27
32,Ashley Classic Beds,Furniture,Beds,Ashley,758.64,1198.27,2022-08-16
33,Apple Gaming Consoles Pro,Electronics,Gaming Consoles,Apple,407.83,594.49,2024-02-03
34,Bowflex Hiking Backpacks 360,Sports,Hiking Backpacks,Bowflex,614.28,976.89,2023-01-23
35,Wayfair Classic Office Chairs,Furniture,Office Chairs,Wayfair,854.31,1238.68,2021-08-18
36,Crate & Barrel Modern Dressers,Furniture,Dressers,Crate & Barrel,950.07,1308.73,2021-12-26
37,Wilson Treadmills Trail,Sports,Treadmills,Wilson,64.2,117.11,2019-11-24
38,Gap Classic Jeans,Clothing,Jeans,Gap,8.57,14.34,2023-08-25
39,Ashley Modern Nightstands,Furniture,Nightstands,Ashley,59.95,90.11,2020-06-14
40,La-Z-Boy Loft Bookshelves,Furniture,Bookshelves,La-Z-Boy,287.16,490.6,2021-03-26
41,Frigidaire Dishwashers Elite,Home Appliances,Dishwashers,Frigidaire,27.95,39.15,2023-03-29
42,Dyson Microwaves Elite,Home Appliances,Microwaves,Dyson,258.57,423.29,2019-01-03
43,Wilson Golf Clubs Pro,Sports,Golf Clubs,Wilson,88.44,169.3,2021-01-14
44,Pottery Barn Classic Dressers,Furniture,Dressers,Pottery Barn,748.81,1120.26,2020-06-14
45,The North Face Basketballs Trail,Sports,Basketballs,The North Face,8.17,15.87,2019-07-11
46,Adidas Tennis Rackets Trail,Sports,Tennis Rackets,Adidas,722.22,1054.16,2020-10-15
47,Under Armour Essential Jackets,Clothing,Jackets,Under Armour,66.36,123.48,2020-08-30
48,Adidas Classic T-Shirts,Clothing,T-Shirts,Adidas,33.09,64.19,2019-10-27
49,Cuisinart Coffee Makers 2000,Home Appliances,Coffee Makers,Cuisinart,200.08,307.4,2022-12-12
50,Lenovo Tablets Pro,Electronics,Tablets,Lenovo,1134.08,1435.33,2024-06-03
51,Asus Tablets Pro,Electronics,Tablets,Asus,613.67,940.34,2021-12-27
52,Olay Shampoos,Beauty,Shampoos,Olay,4.06,7.48,2023-06-14
53,Adidas Treadmills Pro,Sports,Treadmills,Adidas,417.51,787.45,2024-02-06
54,Dyson Pro Coffee Makers,Home Appliances,Coffee Makers,Dyson,242.13,355.71,2020-01-26
55,Maytag Refrigerators 2000,Home Appliances,Refrigerators,Maytag,717.42,1086.13,2022-12-16
56,Olay Foundations,Beauty,Foundations,Olay,61.41,164.96,2022-01-17
57,Nike Classic Sneakers,Clothing,Sneakers,Nike,89.39,169.94,2023-11-05
58,West Elm Loft Beds,Furniture,Beds,West Elm,359.14,567.66,2021-11-28
59,Bosch Vacuum Cleaners Elite,Home Appliances,Vacuum Cleaners,Bosch,857.08,1153.24,2024-04-16
60,Dyson Washing Machines Plus,Home Appliances,Washing Machines,Dyson,27.56,41.22,2022-08-05
61,Asus Smartphones Series X,Electronics,Smartphones,Asus,1260.86,1878.56,2022-06-19
62,Whirlpool Dishwashers Plus,Home Appliances,Dishwashers,Whirlpool,427.25,601.22,2020-04-09
63,Olay Radiance Perfumes,Beauty,Perfumes,Olay,55.65,103.23,2020-02-20
64,Gap Premium Jackets,Clothing,Jackets,Gap,15.65,38.9,2023-10-14
65,Dove Radiance Face Masks,Beauty,Face Masks,Dove,38.29,84.02,2023-02-17
66,Neutrogena Pure Face Masks,Beauty,Face Masks,Neutrogena,40.65,79.82,2023-12-22
67,Nike Yoga Mats Pro,Sports,Yoga Mats,Nike,62.82,110.03,2022-06-04
68,Samsung Headphones Pro,Electronics,Headphones,Samsung,1151.77,1486.87,2019-02-22
69,Bose Smartphones Pro,Electronics,Smartphones,Bose,416.53,553.31,2022-01-05
70,Asus Laptops Pro,Electronics,Laptops,Asus,319.5,429.02,2022-11-09
71,L'Oreal Pure Hair Dryers,Beauty,Hair Dryers,L'Oreal,13.25,44.18,2020-06-21
72,Trek Dumbbells 360,Sports,Dumbbells,Trek,507.2,735.67,2021-10-20
73,Canon Cameras Ultra,Electronics,Cameras,Canon,52.95,68.52,2022-07-28
74,L'Oreal Glow Lipsticks,Beauty,Lipsticks,L'Oreal,3.83,9.41,2024-08-05
75,Zara Classic T-Shirts,Clothing,T-Shirts,Zara,38.11,91.14,2021-04-09
76,Whirlpool Pro Air Conditioners,Home Appliances,Air Conditioners,Whirlpool,526.1,768.76,2022-11-23
77,Clinique Glow Hair Dryers,Beauty,Hair Dryers,Clinique,9.6,30.51,2020-03-10
78,Calvin Klein Classic Jackets,Clothing,Jackets,Calvin Klein,6.09,12.71,2023-03-02
79,Dyson Smart Dishwashers,Home Appliances,Dishwashers,Dyson,51.11,74.51,2021-11-19
80,The North Face Hiking Backpacks 360,Sports,Hiking Backpacks,The North Face,19.38,37.37,2023-10-01
81,Olay Pure Skincare Sets,Beauty,Skincare Sets,Olay,34.13,66.57,2022-10-22
82,H&M Premium Shorts,Clothing,Shorts,H&M,7,14.42,2021-11-16
83,Columbia Golf Clubs Trail,Sports,Golf Clubs,Columbia,127.56,236.03,2023-05-16
84,Apple Smartwatches Pro,Electronics,Smartwatches,Apple,391.55,520.2,2020-01-31
85,Trek Yoga Mats Trail,Sports,Yoga Mats,Trek,77.61,121.57,2020-01-08
86,Levi's Classic Sweaters,Clothing,Sweaters,Levi's,132.42,224.4,2021-05-19
87,Pottery Barn Classic Bookshelves,Furniture,Bookshelves,Pottery Barn,375.64,526.31,2019-07-14
88,Adidas Premium Activewear,Clothing,Activewear,Adidas,26.71,58.79,2023-05-15
89,Apple Smartwatches Ultra,Electronics,Smartwatches,Apple,537.65,683.59,2019-11-11
90,H&M Essential T-Shirts,Clothing,T-Shirts,H&M,54.21,124.29,2019-11-01
91,Levi's Sport Shorts,Clothing,Shorts,Levi's,100.97,234.68,2024-06-13
92,Sony Smart TVs Ultra,Electronics,Smart TVs,Sony,134.91,184.76,2023-02-21
93,Maytag Blenders Elite,Home Appliances,Blenders,Maytag,32.26,46.55,2019-07-11
94,Tommy Hilfiger Essential Shorts,Clothing,Shorts,Tommy Hilfiger,6.86,12.92,2024-01-25
95,Levi's Essential Dresses 716,Clothing,Dresses,Levi's,99.53,231.23,2021-06-28
96,Cuisinart Pro Blenders,Home Appliances,Blenders,Cuisinart,477.05,764.79,2024-06-04
97,Revlon Pure Shampoos,Beauty,Shampoos,Revlon,76.8,155.6,2022-03-18
98,Maybelline Pure Perfumes,Beauty,Perfumes,Maybelline,78.07,151.58,2024-03-20
99,Gap Classic Activewear,Clothing,Activewear,Gap,31.83,78.73,2024-09-04
100,H&M Classic Dresses,Clothing,Dresses,H&M,80.62,135.63,2023-06-11
101,Coleman Yoga Mats Trail,Sports,Yoga Mats,Coleman,274.84,503.91,2022-03-28
102,Crate & Barrel Heritage Beds,Furniture,Beds,Crate & Barrel,1228.23,1684.31,2022-03-29
103,HP Headphones Mini,Electronics,Headphones,HP,540.87,807.19,2022-04-03
104,Trek Dumbbells Pro,Sports,Dumbbells,Trek,206.12,335.89,2019-01-20
105,Ashley Loft Nightstands,Furniture,Nightstands,Ashley,98.65,158.01,2023-11-14
106,The North Face Hiking Backpacks 360 728,Sports,Hiking Backpacks,The North Face,211.25,346.03,2019-11-27
107,Nike Premium Jackets,Clothing,Jackets,Nike,5.58,15.15,2022-06-04
108,Sony Laptops Max,Electronics,Laptops,Sony,46.43,62.77,2019-04-29
109,Samsung Tablets Mini,Electronics,Tablets,Samsung,1375.85,1832.33,2020-09-18
110,Nike Camping Tents Elite,Sports,Camping Tents,Nike,405.24,581.9,2019-10-14
111,Bosch Dishwashers Elite,Home Appliances,Dishwashers,Bosch,313.86,416.26,2019-06-27
112,Neutrogena Glow Face Masks,Beauty,Face Masks,Neutrogena,44.6,90.03,2020-08-03
113,Canon Tablets Lite,Electronics,Tablets,Canon,189.28,227.57,2021-05-11
114,Neutrogena Pure Face Masks 665,Beauty,Face Masks,Neutrogena,14.37,35.06,2022-07-15
115,Levi's Premium Activewear,Clothing,Activewear,Levi's,87.86,237.48,2024-03-02
116,Hamilton Beach Vacuum Cleaners 2000,Home Appliances,Vacuum Cleaners,Hamilton Beach,304.23,492.84,2021-04-30
117,Canon Laptops Pro,Electronics,Laptops,Canon,1426.8,1880.11,2020-11-28
118,Under Armour Classic Jackets,Clothing,Jackets,Under Armour,20.59,38.81,2020-06-07
119,Under Armour Classic Dresses,Clothing,Dresses,Under Armour,48.86,116.74,2022-04-03
120,Under Armour Sport Jeans,Clothing,Jeans,Under Armour,97.69,189.69,2023-04-10
121,Dove Nail Polish,Beauty,Nail Polish,Dove,66.44,143.79,2021-05-03
122,Cuisinart Microwaves Plus,Home Appliances,Microwaves,Cuisinart,172.73,272.32,2021-02-09
123,Under Armour Slim Activewear,Clothing,Activewear,Under Armour,109.18,205.77,2023-02-28
124,Asus Cameras Pro,Electronics,Cameras,Asus,817.74,970.65,2019-08-15
125,West Elm Modern Dressers,Furniture,Dressers,West Elm,790.62,1160.02,2019-09-13
126,Tommy Hilfiger Classic Jackets,Clothing,Jackets,Tommy Hilfiger,7.46,15.34,2023-09-11
127,Zara Premium T-Shirts,Clothing,T-Shirts,Zara,60.91,128.45,2021-01-10
128,Adidas Sport Shorts,Clothing,Shorts,Adidas,72.48,195.35,2022-08-10
129,Pottery Barn Modern Dressers,Furniture,Dressers,Pottery Barn,1066.72,1531.37,2022-10-22
130,Tommy Hilfiger Slim T-Shirts,Clothing,T-Shirts,Tommy Hilfiger,137.45,235.42,2022-10-01
131,West Elm Classic Office Chairs,Furniture,Office Chairs,West Elm,96.09,148.05,2021-04-25
132,Samsung Smartwatches Mini,Electronics,Smartwatches,Samsung,937.57,1413.21,2019-01-21
133,Adidas Dumbbells Pro,Sports,Dumbbells,Adidas,52.43,89.96,2022-01-24
134,Calvin Klein Classic Boots,Clothing,Boots,Calvin Klein,108.36,205.27,2020-04-30
135,KitchenAid Washing Machines Elite,Home Appliances,Washing Machines,KitchenAid,159.7,237.12,2021-08-09
136,Lenovo Smart TVs Max,Electronics,Smart TVs,Lenovo,273.25,349.82,2023-06-13
137,H&M Sport Dresses,Clothing,Dresses,H&M,57.19,131.29,2023-02-05
138,Pottery Barn Classic Beds,Furniture,Beds,Pottery Barn,706.85,1076.37,2019-08-04
139,Apple Gaming Consoles Mini,Electronics,Gaming Consoles,Apple,342.5,492.22,2019-06-16
140,West Elm Classic Nightstands,Furniture,Nightstands,West Elm,80.61,112.13,2022-12-13
141,KitchenAid Vacuum Cleaners 2000,Home Appliances,Vacuum Cleaners,KitchenAid,225.05,303.65,2024-05-03
142,IKEA Modern Coffee Tables,Furniture,Coffee Tables,IKEA,402.75,645.72,2022-01-11
143,KitchenAid Microwaves Elite,Home Appliances,Microwaves,KitchenAid,79.72,108.43,2019-07-08
144,Cuisinart Vacuum Cleaners Elite,Home Appliances,Vacuum Cleaners,Cuisinart,633.64,938.49,2023-09-02
145,Maytag Vacuum Cleaners 2000,Home Appliances,Vacuum Cleaners,Maytag,52.41,81.2,2020-09-16
146,HP Smart TVs Ultra,Electronics,Smart TVs,HP,1011.25,1497.73,2022-04-02
147,KitchenAid Smart Air Conditioners,Home Appliances,Air Conditioners,KitchenAid,533.89,777.57,2021-07-25
148,Bowflex Sport Golf Clubs,Sports,Golf Clubs,Bowflex,106.8,198.16,2019-09-29
149,Maybelline Radiance Skincare Sets,Beauty,Skincare Sets,Maybelline,23.74,49.48,2023-05-29
150,L'Oreal Luxe Hair Dryers,Beauty,Hair Dryers,L'Oreal,4.68,11.93,2023-10-25
151,Bowflex Golf Clubs Pro,Sports,Golf Clubs,Bowflex,501.49,885.1,2021-09-27
152,Wayfair Loft Sofas,Furniture,Sofas,Wayfair,917.57,1433.91,2022-01-08
153,Bosch Microwaves Elite,Home Appliances,Microwaves,Bosch,424.81,663.79,2021-12-27
154,Levi's Essential Jackets,Clothing,Jackets,Levi's,118.81,219.54,2022-01-16
155,Bosch Refrigerators Elite,Home Appliances,Refrigerators,Bosch,931.72,1487.45,2023-04-09
156,Samsung Gaming Consoles Ultra,Electronics,Gaming Consoles,Samsung,789.03,1030.63,2022-08-04
157,IKEA Heritage Beds,Furniture,Beds,IKEA,99.48,159.41,2020-10-27
158,Tommy Hilfiger Essential Jackets,Clothing,Jackets,Tommy Hilfiger,95.59,238.14,2023-07-14
159,Bose Gaming Consoles Ultra,Electronics,Gaming Consoles,Bose,1378.98,1827.34,2020-08-23
160,Under Armour Slim Jeans,Clothing,Jeans,Under Armour,115.14,243.15,2021-07-31
161,Adidas Sport Yoga Mats,Sports,Yoga Mats,Adidas,18.61,33.86,2020-03-08
162,Nike Hiking Backpacks Pro,Sports,Hiking Backpacks,Nike,648.06,1242.67,2019-03-25
163,Zara Sport Jeans,Clothing,Jeans,Zara,83.76,201.2,2019-05-27
164,Maybelline Radiance Shampoos,Beauty,Shampoos,Maybelline,29.74,98.53,2020-08-04
165,Hamilton Beach Microwaves Elite,Home Appliances,Microwaves,Hamilton Beach,542.51,859.41,2022-03-11
166,Sony Headphones Lite,Electronics,Headphones,Sony,233.06,288.54,2023-05-29
167,Sony Cameras Series X,Electronics,Cameras,Sony,434,580.65,2021-10-11
168,GE Refrigerators 2000,Home Appliances,Refrigerators,GE,427.42,614.69,2019-03-17
169,Lenovo Smart TVs Ultra,Electronics,Smart TVs,Lenovo,559.04,707.04,2022-02-27
170,Ashley Heritage Coffee Tables,Furniture,Coffee Tables,Ashley,1176.84,1713.21,2023-04-23
171,Apple Laptops Mini,Electronics,Laptops,Apple,597.13,850.3,2023-07-27
172,Ashley Classic Nightstands,Furniture,Nightstands,Ashley,859.26,1159.53,2024-07-12
173,Revlon Glow Nail Polish,Beauty,Nail Polish,Revlon,62.07,121.55,2020-11-07
